ID,nExpediente,EMPRESA,AUTÓNOMO,Nº TRABAJADORES,Tipo actividad,Fecha Entrada,Fecha Salida,Base modelo 190,Base modelo 180,importe neto,aprovisionamientos,otros ingresos explotación,ingresos financiero,gastos financieros,deterioro ingresos financieros,inspección HACIENDA,nº socios,pagos gestoria,ha pagado a la gestoría,solicita aplazamientos pago,certificado electrónico,reuniones anuales,envia documentacion por correo,se realiza la declaracion de la renta
1,2300001,0,1,0.0,restauracion,2022-05-20,,0,636,57861,21329.1742526206,,41,8.159871085702854,0.0,0.0,,72.6,No,1,0,0.0,sí,sí
2,2300002,0,1,3.0,fontaneria,2012-04-12,,5127,620,75628,22040.58962534968,,43,8.396038683539077,0.0,0.0,,162.5,Sí,0,1,,no,sí
3,2300003,0,1,0.0,restauracion,2011-09-15,,0,870,720346,279366.7941149706,,55,93.82027029874432,0.0,0.0,,72.6,Sí,0,1,,sí,sí
4,2300004,0,1,2.0,restauracion,2020-02-11,,3076,1104,65971,19304.83641579363,,40,7.487854395511842,0.0,0.0,,142.45,Sí,0,1,,sí,sí
5,2300005,0,1,3.0,restauracion,2004-01-22,,3666,1090,71298,26237.52769988209,,35,9.789290532353371,0.0,1.0,,162.5,Sí,0,0,0.0,sí,sí
6,2300006,0,1,1.0,restauracion,2021-07-21,,1587,940,209334,78850.0354970258,,23,27.25499349421894,0.0,0.0,,121.0,Sí,0,1,,no,sí
7,2300007,0,1,0.0,restauracion,2008-07-01,,0,1018,37932,13771.164337152666,,28,5.650848769652676,0.0,0.0,,72.6,Sí,0,1,1.0,no,sí
8,2300008,0,1,0.0,comercio alimentacion,2011-07-04,,0,1089,32672,10855.551183340263,,32,4.682956619509625,0.0,0.0,,72.6,Sí,1,0,1.0,sí,sí
9,2300009,0,1,0.0,peluqueria,2015-11-17,,0,1068,44632,16281.965157936957,,43,6.484355917825669,0.0,1.0,,72.6,Sí,0,1,,sí,sí
10,2300010,0,1,0.0,construccion,2002-11-12,,0,992,31486,11251.92338193894,,38,4.814539761483364,0.0,0.0,,72.6,Sí,0,1,,sí,sí
11,2300011,0,1,0.0,fontaneria,2011-05-20,,0,815,233962,85005.0144632778,,60,29.298253526140925,0.0,1.0,,72.6,Sí,1,0,0.0,sí,sí
12,2300012,0,1,0.0,restauracion,2012-06-06,,0,1114,40605,15972.590175219852,,25,6.381653123790397,0.0,1.0,,72.6,Sí,1,1,0.0,sí,sí
13,2300013,0,1,0.0,restauracion,2005-03-27,,0,867,45979,18190.94507655916,,39,7.118077396136037,0.0,0.0,,72.6,Sí,0,0,,sí,sí
14,2300014,0,1,0.0,educacion,2001-08-22,,0,504,777928,300236.85542766866,,54,100.74847628901826,0.0,1.0,,72.6,Sí,0,1,,sí,sí
15,2310015,1,0,11.0,construccion,2022-04-09,,18568,500,131478,45691.4343677501,,31,16.247377583039157,0.0,0.0,1.0,460.0,Sí,1,1,,sí,sí
16,2310016,1,0,10.0,construccion,2018-07-09,,17930,634,170448,56198.89452335394,,34,19.73552490095464,0.0,0.0,1.0,460.0,Sí,0,1,,sí,sí
17,2310017,1,0,12.0,construccion,2020-11-10,,18204,1160,355985,143447.53378374717,,57,48.69933751799395,0.0,0.0,1.0,460.0,Sí,0,1,0.0,sí,no
